groupid,groupname,description,createddate,guideid
1,Group_1,Fun group,2025-05-17,388
2,Group_2,Fun group,2025-10-17,426
3,Group_3,Fun group,2025-05-29,185
4,Group_4,Fun group,2025-02-20,252
5,Group_5,Fun group,2025-01-22,146
6,Group_6,Fun group,2025-04-18,240
7,Group_7,Fun group,2025-06-03,119
8,Group_8,Fun group,2025-10-06,342
9,Group_9,Fun group,2025-07-18,417
10,Group_10,Fun group,2025-06-29,89
11,Group_11,Fun group,2025-11-16,292
12,Group_12,Fun group,2025-02-06,155
13,Group_13,Fun group,2025-11-03,144
14,Group_14,Fun group,2025-04-06,204
15,Group_15,Fun group,2025-02-24,2
16,Group_16,Fun group,2025-12-03,178
17,Group_17,Fun group,2025-05-20,329
18,Group_18,Fun group,2025-03-23,4
19,Group_19,Fun group,2025-10-01,7
20,Group_20,Fun group,2025-06-13,340
21,Group_21,Fun group,2025-02-28,20
22,Group_22,Fun group,2025-12-24,233
23,Group_23,Fun group,2025-09-28,11
24,Group_24,Fun group,2025-10-14,306
25,Group_25,Fun group,2025-02-25,487
26,Group_26,Fun group,2025-12-17,55
27,Group_27,Fun group,2025-10-24,181
28,Group_28,Fun group,2025-08-02,249
29,Group_29,Fun group,2025-06-15,24
30,Group_30,Fun group,2025-06-09,27
31,Group_31,Fun group,2025-07-17,426
32,Group_32,Fun group,2025-06-04,297
33,Group_33,Fun group,2025-06-01,242
34,Group_34,Fun group,2025-04-13,53
35,Group_35,Fun group,2025-09-26,119
36,Group_36,Fun group,2025-06-29,467
37,Group_37,Fun group,2025-04-18,72
38,Group_38,Fun group,2025-06-24,452
39,Group_39,Fun group,2025-08-09,480
40,Group_40,Fun group,2025-05-10,485
41,Group_41,Fun group,2025-10-08,342
42,Group_42,Fun group,2025-05-10,272
43,Group_43,Fun group,2025-06-04,251
44,Group_44,Fun group,2025-05-09,7
45,Group_45,Fun group,2025-01-25,428
46,Group_46,Fun group,2025-09-21,282
47,Group_47,Fun group,2025-10-06,203
48,Group_48,Fun group,2025-11-29,202
49,Group_49,Fun group,2025-02-16,17
50,Group_50,Fun group,2025-10-25,47
51,Group_51,Fun group,2025-12-04,181
52,Group_52,Fun group,2025-01-07,385
53,Group_53,Fun group,2025-07-12,443
54,Group_54,Fun group,2025-05-01,223
55,Group_55,Fun group,2025-09-21,192
56,Group_56,Fun group,2025-12-02,17
57,Group_57,Fun group,2025-01-23,392
58,Group_58,Fun group,2025-01-11,472
59,Group_59,Fun group,2025-11-18,482
60,Group_60,Fun group,2025-04-04,245
61,Group_61,Fun group,2025-02-04,29
62,Group_62,Fun group,2025-05-18,255
63,Group_63,Fun group,2025-08-07,496
64,Group_64,Fun group,2025-04-02,47
65,Group_65,Fun group,2025-12-02,424
66,Group_66,Fun group,2025-03-21,491
67,Group_67,Fun group,2025-08-19,126
68,Group_68,Fun group,2025-01-21,20
69,Group_69,Fun group,2025-09-23,212
70,Group_70,Fun group,2025-02-16,97
71,Group_71,Fun group,2025-06-25,433
72,Group_72,Fun group,2025-06-16,249
73,Group_73,Fun group,2025-03-15,75
74,Group_74,Fun group,2025-07-10,360
75,Group_75,Fun group,2025-02-16,46
76,Group_76,Fun group,2025-12-17,250
77,Group_77,Fun group,2025-06-12,131
78,Group_78,Fun group,2025-11-17,448
79,Group_79,Fun group,2025-06-14,180
80,Group_80,Fun group,2025-07-14,136
81,Group_81,Fun group,2025-02-15,489
82,Group_82,Fun group,2025-03-25,25
83,Group_83,Fun group,2025-09-28,232
84,Group_84,Fun group,2025-12-06,302
85,Group_85,Fun group,2025-12-19,28
86,Group_86,Fun group,2025-08-16,461
87,Group_87,Fun group,2025-12-21,242
88,Group_88,Fun group,2025-09-04,156
89,Group_89,Fun group,2025-05-18,421
90,Group_90,Fun group,2025-02-03,191
91,Group_91,Fun group,2025-11-07,341
92,Group_92,Fun group,2025-09-11,114
93,Group_93,Fun group,2025-10-08,196
94,Group_94,Fun group,2025-03-21,470
95,Group_95,Fun group,2025-05-07,340
96,Group_96,Fun group,2025-07-28,79
97,Group_97,Fun group,2025-08-10,329
98,Group_98,Fun group,2025-11-05,478
99,Group_99,Fun group,2025-09-16,461
100,Group_100,Fun group,2025-12-11,393
101,Group_101,Fun group,2025-04-15,179
102,Group_102,Fun group,2025-07-25,203
103,Group_103,Fun group,2025-01-14,405
104,Group_104,Fun group,2025-04-09,301
105,Group_105,Fun group,2025-07-08,483
106,Group_106,Fun group,2025-09-01,124
107,Group_107,Fun group,2025-04-22,475
108,Group_108,Fun group,2025-10-19,16
109,Group_109,Fun group,2025-07-15,288
110,Group_110,Fun group,2025-06-14,322
111,Group_111,Fun group,2025-06-29,160
112,Group_112,Fun group,2025-01-08,248
113,Group_113,Fun group,2025-12-20,91
114,Group_114,Fun group,2025-11-15,257
115,Group_115,Fun group,2025-03-03,264
116,Group_116,Fun group,2025-03-19,362
117,Group_117,Fun group,2025-01-03,68
118,Group_118,Fun group,2025-04-28,193
119,Group_119,Fun group,2025-05-09,396
120,Group_120,Fun group,2025-03-07,113
121,Group_121,Fun group,2025-03-11,366
122,Group_122,Fun group,2025-12-27,463
123,Group_123,Fun group,2025-09-27,214
124,Group_124,Fun group,2025-04-19,493
125,Group_125,Fun group,2025-03-18,134
126,Group_126,Fun group,2025-06-12,10
127,Group_127,Fun group,2025-12-09,208
128,Group_128,Fun group,2025-12-24,440
129,Group_129,Fun group,2025-09-06,413
130,Group_130,Fun group,2025-03-18,69
131,Group_131,Fun group,2025-07-11,445
132,Group_132,Fun group,2025-11-08,354
133,Group_133,Fun group,2025-10-30,15
134,Group_134,Fun group,2025-06-25,326
135,Group_135,Fun group,2025-11-22,185
136,Group_136,Fun group,2025-03-05,115
137,Group_137,Fun group,2025-02-11,159
138,Group_138,Fun group,2025-05-21,443
139,Group_139,Fun group,2025-03-22,162
140,Group_140,Fun group,2025-05-08,93
141,Group_141,Fun group,2025-05-26,446
142,Group_142,Fun group,2025-06-12,1
143,Group_143,Fun group,2025-05-25,272
144,Group_144,Fun group,2025-02-17,163
145,Group_145,Fun group,2025-08-08,353
146,Group_146,Fun group,2025-03-05,138
147,Group_147,Fun group,2025-10-09,499
148,Group_148,Fun group,2025-07-22,467
149,Group_149,Fun group,2025-06-10,115
150,Group_150,Fun group,2025-01-02,333
151,Group_151,Fun group,2025-03-18,270
152,Group_152,Fun group,2025-11-21,445
153,Group_153,Fun group,2025-02-12,368
154,Group_154,Fun group,2025-03-08,387
155,Group_155,Fun group,2025-04-02,491
156,Group_156,Fun group,2025-03-06,163
157,Group_157,Fun group,2025-07-09,219
158,Group_158,Fun group,2025-12-20,270
159,Group_159,Fun group,2025-05-02,265
160,Group_160,Fun group,2025-07-18,362
161,Group_161,Fun group,2025-02-09,394
162,Group_162,Fun group,2025-05-15,366
163,Group_163,Fun group,2025-06-28,74
164,Group_164,Fun group,2025-05-10,53
165,Group_165,Fun group,2025-03-07,438
166,Group_166,Fun group,2025-06-04,422
167,Group_167,Fun group,2025-11-18,70
168,Group_168,Fun group,2025-07-08,490
169,Group_169,Fun group,2025-04-30,455
170,Group_170,Fun group,2025-08-28,437
171,Group_171,Fun group,2025-10-03,146
172,Group_172,Fun group,2025-10-27,315
173,Group_173,Fun group,2025-06-24,486
174,Group_174,Fun group,2025-08-11,257
175,Group_175,Fun group,2025-03-14,255
176,Group_176,Fun group,2025-05-28,99
177,Group_177,Fun group,2025-05-01,102
178,Group_178,Fun group,2025-04-04,56
179,Group_179,Fun group,2025-04-27,352
180,Group_180,Fun group,2025-03-07,309
181,Group_181,Fun group,2025-12-25,288
182,Group_182,Fun group,2025-12-30,92
183,Group_183,Fun group,2025-06-03,389
184,Group_184,Fun group,2025-05-22,432
185,Group_185,Fun group,2025-05-05,282
186,Group_186,Fun group,2025-12-08,355
187,Group_187,Fun group,2025-07-15,88
188,Group_188,Fun group,2025-04-22,76
189,Group_189,Fun group,2025-06-02,180
190,Group_190,Fun group,2025-11-15,79
191,Group_191,Fun group,2025-07-23,132
192,Group_192,Fun group,2025-02-12,497
193,Group_193,Fun group,2025-06-29,371
194,Group_194,Fun group,2025-03-09,298
195,Group_195,Fun group,2025-05-27,342
196,Group_196,Fun group,2025-09-21,266
197,Group_197,Fun group,2025-10-08,55
198,Group_198,Fun group,2025-01-10,278
199,Group_199,Fun group,2025-04-05,53
200,Group_200,Fun group,2025-06-01,48
201,Group_201,Fun group,2025-02-14,410
202,Group_202,Fun group,2025-12-29,187
203,Group_203,Fun group,2025-05-18,365
204,Group_204,Fun group,2025-03-19,16
205,Group_205,Fun group,2025-03-29,445
206,Group_206,Fun group,2025-07-28,155
207,Group_207,Fun group,2025-04-14,441
208,Group_208,Fun group,2025-11-13,429
209,Group_209,Fun group,2025-09-13,455
210,Group_210,Fun group,2025-07-26,271
211,Group_211,Fun group,2025-04-21,220
212,Group_212,Fun group,2025-11-27,10
213,Group_213,Fun group,2025-05-13,224
214,Group_214,Fun group,2025-07-25,272
215,Group_215,Fun group,2025-06-17,56
216,Group_216,Fun group,2025-09-23,127
217,Group_217,Fun group,2025-08-28,186
218,Group_218,Fun group,2025-09-22,291
219,Group_219,Fun group,2025-11-09,239
220,Group_220,Fun group,2025-04-12,93
221,Group_221,Fun group,2025-05-14,86
222,Group_222,Fun group,2025-09-19,159
223,Group_223,Fun group,2025-01-31,499
224,Group_224,Fun group,2025-08-25,99
225,Group_225,Fun group,2025-01-16,166
226,Group_226,Fun group,2025-05-04,337
227,Group_227,Fun group,2025-12-04,118
228,Group_228,Fun group,2025-10-01,325
229,Group_229,Fun group,2025-07-12,222
230,Group_230,Fun group,2025-02-24,340
231,Group_231,Fun group,2025-12-19,306
232,Group_232,Fun group,2025-08-11,92
233,Group_233,Fun group,2025-01-15,300
234,Group_234,Fun group,2025-12-27,362
235,Group_235,Fun group,2025-11-29,413
236,Group_236,Fun group,2025-04-18,415
237,Group_237,Fun group,2025-09-17,455
238,Group_238,Fun group,2025-06-21,21
239,Group_239,Fun group,2025-12-23,317
240,Group_240,Fun group,2025-12-18,416
241,Group_241,Fun group,2025-08-20,419
242,Group_242,Fun group,2025-05-19,85
243,Group_243,Fun group,2025-05-19,387
244,Group_244,Fun group,2025-04-27,105
245,Group_245,Fun group,2025-12-11,222
246,Group_246,Fun group,2025-10-13,234
247,Group_247,Fun group,2025-10-12,325
248,Group_248,Fun group,2025-06-14,153
249,Group_249,Fun group,2025-06-17,18
250,Group_250,Fun group,2025-08-23,149
251,Group_251,Fun group,2025-09-03,69
252,Group_252,Fun group,2025-01-05,232
253,Group_253,Fun group,2025-05-29,309
254,Group_254,Fun group,2025-11-01,110
255,Group_255,Fun group,2025-05-26,436
256,Group_256,Fun group,2025-08-08,88
257,Group_257,Fun group,2025-11-13,8
258,Group_258,Fun group,2025-03-14,141
259,Group_259,Fun group,2025-11-07,147
260,Group_260,Fun group,2025-07-19,249
261,Group_261,Fun group,2025-10-12,338
262,Group_262,Fun group,2025-04-11,341
263,Group_263,Fun group,2025-02-08,190
264,Group_264,Fun group,2025-11-17,141
265,Group_265,Fun group,2025-10-05,241
266,Group_266,Fun group,2025-01-14,247
267,Group_267,Fun group,2025-12-07,77
268,Group_268,Fun group,2025-01-02,183
269,Group_269,Fun group,2025-07-04,93
270,Group_270,Fun group,2025-04-08,388
271,Group_271,Fun group,2025-03-01,421
272,Group_272,Fun group,2025-05-14,455
273,Group_273,Fun group,2025-12-06,256
274,Group_274,Fun group,2025-09-13,314
275,Group_275,Fun group,2025-08-25,88
276,Group_276,Fun group,2025-06-29,71
277,Group_277,Fun group,2025-05-28,163
278,Group_278,Fun group,2025-03-03,466
279,Group_279,Fun group,2025-02-21,199
280,Group_280,Fun group,2025-10-11,284
281,Group_281,Fun group,2025-03-29,88
282,Group_282,Fun group,2025-04-30,428
283,Group_283,Fun group,2025-03-24,307
284,Group_284,Fun group,2025-12-17,310
285,Group_285,Fun group,2025-05-01,322
286,Group_286,Fun group,2025-06-18,245
287,Group_287,Fun group,2025-09-20,448
288,Group_288,Fun group,2025-12-12,123
289,Group_289,Fun group,2025-10-04,190
290,Group_290,Fun group,2025-10-08,57
291,Group_291,Fun group,2025-02-04,135
292,Group_292,Fun group,2025-03-22,209
293,Group_293,Fun group,2025-10-22,466
294,Group_294,Fun group,2025-08-08,418
295,Group_295,Fun group,2025-09-16,326
296,Group_296,Fun group,2025-12-04,387
297,Group_297,Fun group,2025-10-27,17
298,Group_298,Fun group,2025-09-11,382
299,Group_299,Fun group,2025-11-29,462
300,Group_300,Fun group,2025-05-30,396
301,Group_301,Fun group,2025-07-18,466
302,Group_302,Fun group,2025-08-28,382
