participantid,groupid
1,229
2,252
3,278
4,330
5,184
6,203
7,298
8,241
9,440
10,410
11,424
12,354
13,47
14,444
15,479
16,494
17,405
18,311
19,236
20,66
21,1
22,97
23,159
24,203
25,92
26,447
27,451
28,492
29,277
30,416
31,7
32,25
33,468
34,29
35,181
36,362
37,495
38,217
39,323
40,497
41,46
42,376
43,259
44,487
45,257
46,196
47,208
48,31
49,91
50,278
51,142
52,235
53,424
54,267
55,33
56,143
57,74
58,298
59,361
60,171
61,402
62,437
63,294
64,285
65,156
66,157
67,78
68,68
69,408
70,125
71,204
72,117
73,367
74,22
75,52
76,455
77,166
78,188
79,31
80,247
81,343
82,101
83,62
84,177
85,146
86,298
87,265
88,419
89,115
90,206
91,254
92,39
93,80
94,150
95,393
96,306
97,29
98,309
99,352
100,96
101,156
102,439
103,180
104,176
105,199
106,310
107,320
108,10
109,284
110,494
111,13
112,223
113,291
114,310
115,466
116,107
117,145
118,318
119,106
120,16
121,173
122,255
123,384
124,71
125,207
126,376
127,367
128,416
129,55
130,251
131,229
132,249
133,120
134,101
135,291
136,345
137,149
138,422
139,226
140,347
141,8
142,176
143,274
144,41
145,241
146,289
147,468
148,130
149,221
150,446
151,410
152,218
153,437
154,47
155,121
156,500
157,118
158,211
159,338
160,493
161,57
162,248
163,280
164,453
165,372
166,219
167,25
168,130
169,356
170,164
171,179
172,367
173,423
174,248
175,413
176,99
177,68
178,411
179,435
180,151
181,243
182,43
183,100
184,428
185,117
186,265
187,484
188,1
189,361
190,212
191,366
192,238
193,472
194,38
195,301
196,346
197,498
198,182
199,467
200,274
201,51
202,339
203,379
204,245
205,53
206,147
207,36
208,57
209,371
210,138
211,213
212,141
213,485
214,492
215,258
216,393
217,87
218,124
219,171
220,60
221,310
222,296
223,71
224,347
225,293
226,334
227,175
228,85
229,237
230,157
231,460
232,432
233,453
234,430
235,483
236,341
237,52
238,74
239,244
240,415
241,18
242,158
243,24
244,4
245,96
246,430
247,261
248,85
249,148
250,185
251,85
252,49
253,398
254,451
255,72
256,75
257,241
258,38
259,278
260,460
261,244
262,287
263,248
264,190
265,494
266,482
267,86
268,333
269,449
270,159
271,221
272,108
273,188
274,379
275,451
276,42
277,416
278,55
279,354
280,268
281,107
282,296
283,19
284,159
285,44
286,420
287,71
288,413
289,462
290,285
291,414
292,478
293,73
294,166
295,411
296,367
297,61
298,284
299,281
300,299
301,421
302,427
303,271
304,423
305,490
306,123
307,320
308,375
309,123
310,89
311,314
312,301
313,238
314,217
315,114
316,209
317,200
318,398
319,42
320,329
321,423
322,233
323,227
324,245
325,205
326,332
327,125
328,1
329,468
330,284
331,250
332,99
333,288
334,121
335,67
336,107
337,320
338,429
339,131
340,197
341,250
342,432
343,14
344,95
345,127
346,194
347,465
348,422
349,461
350,58
351,36
352,41
353,28
354,103
355,177
356,362
357,20
358,284
359,280
360,329
361,24
362,230
363,366
364,86
365,293
366,397
367,420
368,236
369,365
370,19
371,493
372,135
373,256
374,478
375,349
376,423
377,484
378,208
379,20
380,149
381,69
382,321
383,81
384,212
385,274
386,401
387,84
388,485
389,133
390,42
391,316
392,428
393,492
394,52
395,447
396,239
397,367
398,455
399,53
400,63
401,262
402,352
403,421
404,137
405,115
406,69
407,19
408,363
409,98
410,226
411,348
412,396
413,457
414,221
415,46
416,109
417,202
418,133
419,90
420,304
421,154
422,135
423,41
424,273
425,13
426,342
427,5
428,180
429,330
430,31
431,375
432,74
433,189
434,246
435,273
436,228
437,75
438,410
439,356
440,390
441,341
442,353
443,434
444,235
445,384
446,188
447,452
448,346
449,500
450,16
451,171
452,439
453,47
454,425
455,183
456,335
457,292
458,18
459,411
460,148
461,364
462,215
463,379
464,150
465,455
466,443
467,31
468,360
469,228
470,60
471,289
472,220
473,112
474,356
475,25
476,200
477,161
478,221
479,34
480,165
481,207
482,113
483,463
484,252
485,386
486,62
487,74
488,368
489,396
490,53
491,231
492,495
493,79
494,196
495,234
496,487
497,53
498,60
499,23
500,363
501,96
502,499
503,259
504,65
505,384
506,333
507,31
508,325
509,459
510,352
511,295
512,90
513,266
514,164
515,482
516,78
517,321
518,118
519,422
520,99
521,204
522,318
523,209
524,209
525,460
526,314
527,362
528,487
529,49
530,39
531,428
532,454
533,379
534,15
535,352
536,94
537,422
538,183
539,257
540,195
541,132
542,434
543,36
544,228
545,20
546,300
547,450
548,449
549,376
550,99
551,412
552,39
553,182
554,222
555,420
556,51
557,377
558,76
559,54
560,405
561,114
562,102
563,216
564,273
565,209
566,337
567,275
568,132
569,8
570,312
571,115
572,305
573,297
574,460
575,213
576,363
577,496
578,53
579,12
580,434
581,66
582,41
583,420
584,395
585,280
586,14
587,422
588,172
589,411
590,166
591,216
592,153
593,499
594,94
595,111
596,435
597,207
598,206
599,225
600,172
601,393
602,411
603,225
604,356
605,103
606,307
607,183
608,341
609,309
610,368
611,39
612,223
613,153
614,278
615,171
616,235
617,489
618,149
619,326
620,171
621,199
622,30
623,382
624,55
625,10
626,119
627,275
628,4
629,291
630,467
631,186
632,474
633,383
634,166
635,132
636,197
637,350
638,407
639,39
640,322
641,58
642,78
643,374
644,466
645,451
646,360
647,129
648,261
649,338
650,478
651,54
652,373
653,72
654,336
655,362
656,188
657,394
658,326
659,333
660,281
661,446
662,408
663,491
664,95
665,154
666,35
667,257
668,129
669,189
670,166
671,341
672,347
673,247
674,229
675,491
676,419
677,251
678,429
679,163
680,346
681,471
682,327
683,262
684,78
685,244
686,318
687,104
688,440
689,26
690,410
691,250
692,125
693,63
694,18
695,45
696,416
697,329
698,246
699,119
700,222
701,192
702,235
703,495
704,72
705,61
706,262
707,42
708,289
709,450
710,311
711,111
712,254
713,118
714,163
715,67
716,407
717,142
718,488
719,336
720,199
721,84
722,169
723,373
724,171
725,20
726,485
727,213
728,270
729,297
730,55
731,78
732,113
733,495
734,266
735,172
736,107
737,372
738,105
739,128
740,22
741,195
742,154
743,176
744,149
745,276
746,138
747,373
748,22
749,103
750,79
751,44
752,410
753,297
754,44
755,53
756,177
757,184
758,498
759,414
760,194
761,42
762,14
763,469
764,363
765,242
766,290
767,3
768,137
769,475
770,55
771,349
772,398
773,11
774,113
775,361
776,350
777,352
778,247
779,147
780,66
781,498
782,280
783,319
784,125
785,218
786,286
787,186
788,395
789,33
790,458
791,223
792,492
793,229
794,59
795,154
796,488
797,117
798,219
799,67
800,113
801,12
802,56
803,369
804,286
805,34
806,135
807,174
808,127
809,159
810,103
811,460
812,43
813,388
814,439
815,211
816,453
817,108
818,255
819,147
820,305
821,445
822,359
823,58
824,284
825,94
826,357
827,190
828,77
829,338
830,440
831,69
832,269
833,17
834,345
835,246
836,244
837,203
838,416
839,338
840,356
841,466
842,168
843,133
844,180
845,439
846,500
847,456
848,302
849,190
850,9
851,273
852,405
853,27
854,270
855,219
856,341
857,150
858,207
859,406
860,487
861,42
862,107
863,131
864,487
865,275
866,117
867,68
868,246
869,172
870,222
871,500
872,417
873,3
874,4
875,258
876,287
877,43
878,207
879,201
880,28
881,490
882,457
883,94
884,171
885,102
886,499
887,171
888,436
889,212
890,13
891,208
892,208
893,292
894,46
895,313
896,118
897,473
898,309
899,495
900,37
901,469
902,383
903,183
904,495
905,5
906,40
907,89
908,147
909,410
910,108
911,313
912,115
913,48
914,406
915,213
916,253
917,168
918,85
919,306
920,134
921,116
922,260
923,252
924,318
925,360
926,228
927,105
928,300
929,90
930,392
931,190
932,317
933,68
934,162
935,445
936,278
937,342
938,263
939,2
940,148
941,21
942,465
943,335
944,471
945,62
946,401
947,89
948,274
949,370
950,145
951,384
952,249
953,121
954,170
955,92
956,483
957,407
958,438
959,142
960,376
961,186
962,498
963,349
964,487
965,171
966,223
967,52
968,62
969,393
970,18
971,40
972,59
973,165
974,416
975,428
976,494
977,412
978,105
979,275
980,419
981,474
982,143
983,165
984,376
985,468
986,434
987,401
988,30
989,408
990,175
991,305
992,24
993,106
994,26
995,59
996,177
997,415
998,333
999,86
1000,302
1001,70
1002,89
1003,343
1004,26
1005,52
1006,114
1007,465
1008,415
1009,380
1010,395
1011,403
1012,287
1013,84
1014,410
1015,457
1016,240
1017,12
1018,450
1019,65
1020,498
1021,295
1022,270
1023,376
1024,12
1025,214
1026,424
1027,325
1028,364
1029,408
1030,56
1031,45
1032,2
1033,273
1034,97
1035,280
1036,154
1037,281
1038,34
1039,227
1040,482
1041,469
1042,413
1043,287
1044,271
1045,35
1046,20
1047,98
1048,248
1049,340
1050,115
1051,85
1052,321
1053,4
1054,127
1055,220
1056,303
1057,375
1058,328
1059,45
1060,98
1061,320
1062,135
1063,251
1064,466
1065,332
1066,440
1067,170
1068,69
1069,29
1070,181
1071,366
1072,287
1073,245
1074,98
1075,195
1076,139
1077,117
1078,434
1079,306
1080,111
1081,498
1082,13
1083,291
1084,218
1085,55
1086,193
1087,407
1088,485
1089,348
1090,46
1091,279
1092,284
1093,153
1094,362
1095,52
1096,7
1097,347
1098,184
1099,134
1100,246
1101,181
1102,29
1103,338
1104,229
1105,244
1106,91
1107,18
1108,47
1109,458
1110,188
1111,369
1112,200
1113,119
1114,167
1115,368
1116,16
1117,185
1118,260
1119,124
1120,67
1121,339
1122,295
1123,184
1124,117
1125,306
1126,150
1127,193
1128,17
1129,155
1130,182
1131,438
1132,324
1133,205
1134,8
1135,14
1136,392
1137,186
1138,198
1139,272
1140,491
1141,1
1142,266
1143,349
1144,257
1145,87
1146,109
1147,260
1148,416
1149,241
1150,210
1151,294
1152,491
1153,191
1154,194
1155,246
1156,244
1157,337
1158,57
1159,96
1160,168
1161,303
1162,95
1163,333
1164,337
1165,5
1166,467
1167,432
1168,244
1169,357
1170,403
1171,108
1172,375
1173,346
1174,326
1175,53
1176,26
1177,216
1178,100
1179,340
1180,24
1181,78
1182,48
1183,362
1184,127
1185,194
1186,71
1187,378
1188,358
1189,254
1190,3
1191,74
1192,437
1193,77
1194,461
1195,333
1196,146
1197,154
1198,139
1199,470
1200,335
1201,146
1202,138
1203,330
1204,367
1205,295
1206,44
1207,345
1208,85
1209,292
1210,375
1211,251
1212,113
1213,75
1214,211
1215,394
1216,104
1217,33
1218,51
1219,89
1220,224
1221,157
1222,206
1223,479
1224,464
1225,157
1226,292
1227,14
1228,262
1229,347
1230,35
1231,126
1232,328
1233,405
1234,317
1235,473
1236,137
1237,285
1238,76
1239,480
1240,68
1241,186
1242,367
1243,47
1244,407
1245,191
1246,425
1247,386
1248,104
1249,53
1250,288
1251,366
1252,194
1253,80
1254,128
1255,402
1256,149
1257,320
1258,57
1259,96
1260,378
1261,200
1262,394
1263,296
1264,332
1265,52
1266,120
1267,294
1268,205
1269,236
1270,324
1271,201
1272,376
1273,22
1274,196
1275,152
1276,355
1277,168
1278,210
1279,77
1280,290
1281,81
1282,348
1283,53
1284,487
1285,63
1286,140
1287,135
1288,195
1289,220
1290,401
1291,167
1292,489
1293,353
1294,316
1295,474
1296,157
1297,45
1298,253
1299,417
1300,52
1301,430
1302,214
1303,174
1304,126
1305,60
1306,38
1307,357
1308,212
1309,455
1310,385
1311,36
1312,470
1313,273
1314,445
1315,3
1316,411
1317,17
1318,369
1319,48
1320,412
1321,113
1322,52
1323,288
1324,469
1325,162
1326,426
1327,143
1328,415
1329,476
1330,303
1331,187
1332,130
1333,381
1334,138
1335,97
1336,251
1337,339
1338,464
1339,367
1340,481
1341,408
1342,46
1343,276
1344,90
1345,4
1346,292
1347,385
1348,205
1349,105
1350,13
1351,367
1352,14
1353,417
1354,364
1355,497
1356,341
1357,400
1358,62
1359,155
1360,393
1361,60
1362,167
1363,248
1364,54
1365,261
1366,449
1367,341
1368,194
1369,29
1370,206
1371,234
1372,19
1373,402
1374,386
1375,65
1376,228
1377,214
1378,2
1379,463
1380,418
1381,491
1382,229
1383,274
1384,438
1385,394
1386,173
1387,33
1388,212
1389,321
1390,274
1391,91
1392,442
1393,26
1394,467
1395,20
1396,326
1397,285
1398,7
1399,486
1400,222
1401,397
1402,2
1403,435
1404,91
1405,69
1406,499
1407,221
1408,269
1409,43
1410,493
1411,404
1412,402
1413,167
1414,465
1415,497
1416,132
1417,183
1418,183
1419,285
1420,323
1421,359
1422,83
1423,157
1424,32
1425,159
1426,236
1427,398
1428,132
1429,56
1430,234
1431,391
1432,429
1433,88
1434,196
1435,78
1436,11
